Country,Year,Miles_Equator,Political Stability,School Enrollment Female,Life Expency,GDP_Per_Capita,More_than_once_a_week,Once_a_week,Once_a_month,Only_on_special_holy_days,Once_a_year,Less_often,Never_practically_never,Don't know,No answer,other missing,Religousity,Religousity2,Religousity_3,Religousity_4
Thailand,2005,1095.032208,-0.870126605,75.3994064,72.099,12256.51,22.7,19.7,45.1,2,0.8,9.6,0.1,0,0.1,0,14.28571429,29.16666667,0.875,268.6
Ukraine,2005,3338.180877,-0.285366565,91.833168,67.9568293,9434.44,2.6,6.5,11.7,32.9,10.1,11.2,21.5,2,1.6,0,13.78571429,6.933333333,0.208,480.9
United Kingdom,2005,3821.085519,0.12418776,107.039726,79.0487805,36863.58,7.2,9.9,6.2,10.6,9.1,10,46.3,0.1,0.4,0,14.18571429,7.766666667,0.233,522
United States,2005,2559.22656,-0.060543258,95.9484787,77.4878049,48570.05,11.3,23.2,12.3,8.5,4.4,11.5,24.5,0,0.8,0,13.67142857,15.6,0.468,398.3
Burkina Faso,2005,844.444977,-0.062652916,11.8204002,53.31,1403.3,54.7,18.3,3.8,7.5,1.4,9.5,4.7,0,0,0,14.27142857,25.6,0.768,229.6
Uruguay,2005,-2244.071751,0.777662575,108.542,75.826,14778.28,4.3,7.7,7.1,3.8,4.3,5.4,67.3,0,0.1,0,14.27142857,6.366666667,0.191,582.1
Argentina,2006,-2650.710693,0.001967763,96.3841476,74.62,16330.63,5.7,15.6,16.9,11.5,7.3,15,28.1,0,0,0,14.3,12.73333333,0.382,456.8
Bulgaria,2006,2948.637927,0.39442119,87.9584579,72.6121951,14181.15,1.3,5.6,8.5,39.5,6.4,14,23.1,1.6,0,0,14.05714286,5.133333333,0.154,486.5
Canada,2006,3872.995254,1.034956574,100.669502,80.3439024,38865.41,6.8,17.5,9.5,15.4,7.6,7.9,34.4,0.3,0.6,0,14.15714286,11.26666667,0.338,465.9
Chile,2006,-2461.585143,0.613005877,94.2091827,77.865,16068.04,7.8,18.8,15.3,8.7,7.8,12.1,26.7,0.3,2.6,0,13.88571429,13.96666667,0.419,450.4
China,2006,2474.45454,-0.540030122,70.9691467,73.271,8305.76,0.9,3.3,0.6,3.5,4.2,5.5,8.6,72,1.4,0,3.8,1.6,0.048,726.1
Colombia,2006,315.389892,-1.90479672,91.1382294,74.5,10256.39,10.8,34.5,18.8,7.6,5.9,10.7,11.2,0.5,0,0,14.21428571,21.36666667,0.641,342.7
Cyprus,2006,2423.722497,0.539664984,97.4348831,78.764,33884.88,5.4,13.5,14.9,39.7,5.7,5.8,14.9,0,0.1,0,14.27142857,11.26666667,0.338,404.4
Ethiopia,2006,631.005,-1.740132213,22.6457901,57.334,928.39,37.3,39.9,9.7,4.1,0.3,6.1,2.6,0,0,0,14.28571429,28.96666667,0.869,218.9
Finland,2006,4272.76359,1.501111031,113.819412,79.2146341,37972.27,2,4.7,7.8,23.3,16.7,19.8,25.4,0,0,0,14.24285714,4.833333333,0.145,508.1
France,2006,3189.707022,0.595505774,106.92614,80.8121951,34678.06,1.6,5.6,3.8,16.3,5.2,7.2,59.9,0.2,0.1,0,14.22857143,3.666666667,0.11,580.4
Georgia,2006,2919.763083,-0.966098785,99.2053909,70.635,6984.25,3.8,13.9,20.9,32,5.9,16.4,7.1,0,0,0,14.28571429,12.86666667,0.386,399.9
Germany,2006,3530.432679,1.025069594,101.511398,79.1317073,36815.84,1,6.9,10.5,16,7.5,10.6,7.9,0.5,2.1,37.1,8.628571429,6.133333333,0.184,660.6
Ghana,2006,548.310363,0.006396186,38.1818886,59.234,2792.27,45.1,38,5.7,2.9,0.8,4.2,3.3,0,0,0,14.28571429,29.6,0.888,202.1
Guatemala,2006,1089.059499,-0.735238791,41.7966995,70.082,6474.8,33.8,36.3,11.8,5.9,2.6,4.1,5.2,0,0.2,0,14.24285714,27.3,0.819,241.2
Hong Kong,2006,1545.353532,1.190912247,83.065918,82.3756098,45861.05,5.5,2.1,2.2,8.5,7.4,26.2,45.5,0,2.5,0,13.91428571,3.266666667,0.098,585.5
Hungary,2006,3254.212086,0.98567611,95.6179276,73.097561,20729.78,1.6,7.2,5.8,18.1,6,22.8,37.7,0,0.9,0,14.17142857,4.866666667,0.146,544.6
India,2006,1420.964196,-1.065184236,50.2382011,64.918,3911.43,21.3,20.4,13.7,19.5,5.8,9.8,4,5.2,0.1,0,13.5,18.46666667,0.554,339.5
Indonesia,2006,-54.459975,-1.417666912,62.8922806,67.717,8019.73,29.7,34.8,8.4,12.6,1.2,10.2,1.5,0.2,0.8,0,14.05714286,24.3,0.729,261.4
Iran,2006,2237.525652,-1.04084003,77.2405396,72.257,17712.54,20.3,13.5,9.4,22.8,6.5,0,22.6,0,4.9,0,13.58571429,14.4,0.432,401.5
Italy,2006,2889.16386,0.530733764,99.5777206,81.2829268,34602.9,7.3,23.8,22.4,24.7,4.1,4.9,11.6,0.4,0.8,0,14.11428571,17.83333333,0.535,362.4
Korea,2006,2477.635233,0.423855454,96.3186722,78.6682927,29508.38,16.9,13.2,9,11.6,5.9,24.5,19,0,0,0,14.3,13.03333333,0.391,426.2
Malaysia,2006,290.523396,0.288379699,83.2793579,73.744,19188.36,67.4,11.1,1.1,11.2,0.3,7.1,1.3,0,0.5,0,14.21428571,26.53333333,0.796,195.4
Mali,2006,1212.377748,0.414196908,21.0428696,52.839,1730.83,56.1,13,4.8,10.8,1.3,10.4,3.3,0,0.3,0,14.24285714,24.63333333,0.739,234.4
Mexico,2006,1630.780569,-0.636888444,86.2486801,75.296,14547.64,11.9,34.2,17.9,10.6,5.2,8.4,11.3,0,0.4,0,14.21428571,21.33333333,0.64,335.5
Morocco,2006,2193.627438,-0.461343467,49.2116394,72.403,6105.84,84.5,5.5,1.5,6.8,0.1,0.6,0.2,0,0.8,0,14.17142857,30.5,0.915,139.9
Netherlands,2006,3597.151677,0.902736187,117.46553,79.697561,44556.92,2.4,8.6,7,11.3,7.5,4.8,52.6,0.3,1.1,0,13.45714286,6,0.18,532.6
New Zealand,2006,-2822.138433,1.254492283,121.047371,80.0487805,30681.24,4.8,9.4,5.2,7.1,6.5,17,47.7,0,2.2,0,13.95714286,6.466666667,0.194,555.8
Norway,2006,4172.569656,1.252705693,113.719719,80.3439024,55364.22,0.8,3.7,6.2,14.9,15,17.6,41.1,0.2,0.5,0,14.18571429,3.566666667,0.107,560.8
Peru,2006,-634.107723,-0.841553807,85.1167603,73.222,8948.76,10.4,30.1,21.9,12.6,6.8,9.4,7.9,0,0.9,0,14.15714286,20.8,0.624,340.5
Poland,2006,3582.441222,0.354031831,97.9792175,75.1439024,19239.93,9.5,47.9,17.6,13.6,3.6,2,5.2,0.4,0.3,0,14.2,25,0.75,284.8
Romania,2006,3170.078109,0.148430079,84.2956696,72.1634146,16631.86,4.4,22.7,18.6,30.7,3,15.5,4.5,0.1,0.6,0,14.2,15.23333333,0.457,374.1
Russia,2006,4245.15669,-0.908794343,82.058342,66.727561,19389.94,1.1,3.1,8.1,22.2,13.5,14.4,32.5,3.4,1.2,0,13.55714286,4.1,0.123,539.8
Rwanda,2006,-133.879182,-0.684061944,17.4732094,57.083,1275.09,82.1,12.2,1.3,0.8,1.8,1.6,0.2,0,0,0,14.28571429,31.86666667,0.956,133.6
Serbia,2006,3037.139949,-0.53756845,90.62146,73.3853659,12533.97,4.3,6.4,15.6,38.8,13.4,7,10.5,3,1.2,0,13.71428571,8.766666667,0.263,436.4
Slovenia,2006,3184.435629,1.085729003,96.8665085,78.0865854,27537.76,1.5,16.6,9.7,26.8,7.3,5.7,29.7,0.5,2.1,0,13.9,9.266666667,0.278,472.5
South Africa,2006,-2108.604258,0.047030076,93.6793137,53.795,12565.29,16.6,37.8,14.9,5.9,1.1,10.1,13.6,0,0,0,14.28571429,23.1,0.693,321.8
Spain,2006,2791.993023,-0.150648654,121.06974,80.8219512,32092.36,1.7,13.9,6.6,14.7,4,11,46.5,0.2,0.4,0,14.05714286,7.4,0.222,524.8
Sweden,2006,4148.843109,1.293933988,103.323479,80.7487805,40279.46,0.8,2.4,4.7,9.5,16.6,15.4,50.5,0,0.1,0,14.27142857,2.633333333,0.079,587.5
Switzerland,2006,3230.454972,1.268117428,93.1368027,81.4902439,53354,2.5,9.5,12.3,21.6,9.5,11.9,31.7,0.1,0.8,0,14.14285714,8.1,0.243,493.6
Thailand,2006,1095.032208,-1.130200148,76.4392471,72.499,12188.35,22.7,19.7,45.1,2,0.8,9.6,0.1,0,0.1,0,14.28571429,29.16666667,0.875,268.6
Ukraine,2006,3338.180877,-0.036877617,96.1763687,68.077561,8093.56,2.6,6.5,11.7,32.9,10.1,11.2,21.5,2,1.6,0,13.78571429,6.933333333,0.208,480.9
United Kingdom,2006,3821.085519,0.667080104,99.7673416,79.2487805,35212.42,7.2,9.9,6.2,10.6,9.1,10,46.3,0.1,0.4,0,14.18571429,7.766666667,0.233,522
Burkina Faso,2006,844.444977,0.155799553,12.6050596,54.063,1410.77,54.7,18.3,3.8,7.5,1.4,9.5,4.7,0,0,0,14.27142857,25.6,0.768,229.6
Uruguay,2006,-2244.071751,0.898599565,108.505882,76.046,15460.37,4.3,7.7,7.1,3.8,4.3,5.4,67.3,0,0.1,0,14.27142857,6.366666667,0.191,582.1
Argentina,2007,-2650.710693,0.097796634,96.9386215,74.787,18063.91,5.7,15.6,16.9,11.5,7.3,15,28.1,0,0,0,14.3,12.73333333,0.382,456.8
Brazil,2007,-982.215276,-0.357948095,100.83815,72.618,14301.12,21.8,25.9,17.2,3.7,3.4,21.9,5.7,0,0.3,0,14.22857143,21.63333333,0.649,331
Bulgaria,2007,2948.637927,0.357635468,88.4063416,72.6634146,14956.49,1.3,5.6,8.5,39.5,6.4,14,23.1,1.6,0,0,14.05714286,5.133333333,0.154,486.5
Canada,2007,3872.995254,1.007010698,100.748367,80.5439024,40099.45,6.8,17.5,9.5,15.4,7.6,7.9,34.4,0.3,0.6,0,14.15714286,11.26666667,0.338,465.9
Chile,2007,-2461.585143,0.406370878,93.2716827,78.099,18042.79,7.8,18.8,15.3,8.7,7.8,12.1,26.7,0.3,2.6,0,13.88571429,13.96666667,0.419,450.4
China,2007,2474.45454,-0.500553727,76.7652206,73.553,9254.78,0.9,3.3,0.6,3.5,4.2,5.5,8.6,72,1.4,0,3.8,1.6,0.048,726.1
Colombia,2007,315.389892,-1.806527257,94.1192169,74.732,10732.82,10.8,34.5,18.8,7.6,5.9,10.7,11.2,0.5,0,0,14.21428571,21.36666667,0.641,342.7
Cyprus,2007,2423.722497,0.537055731,98.693718,78.91,33423.5,5.4,13.5,14.9,39.7,5.7,5.8,14.9,0,0.1,0,14.27142857,11.26666667,0.338,404.4
Ethiopia,2007,631.005,-1.806409359,26.0020809,58.467,1028.44,37.3,39.9,9.7,4.1,0.3,6.1,2.6,0,0,0,14.28571429,28.96666667,0.869,218.9
Finland,2007,4272.76359,1.488697052,112.618111,79.2634146,38956.47,2,4.7,7.8,23.3,16.7,19.8,25.4,0,0,0,14.24285714,4.833333333,0.145,508.1
France,2007,3189.707022,0.563000798,106.790291,81.1121951,35902.9,1.6,5.6,3.8,16.3,5.2,7.2,59.9,0.2,0.1,0,14.22857143,3.666666667,0.11,580.4
Germany,2007,3530.432679,0.995823801,100.868668,79.5341463,38952.69,1,6.9,10.5,16,7.5,10.6,7.9,0.5,2.1,37.1,8.628571429,6.133333333,0.184,660.6
Ghana,2007,548.310363,-0.073061265,42.3754005,59.741,2974.16,45.1,38,5.7,2.9,0.8,4.2,3.3,0,0,0,14.28571429,29.6,0.888,202.1
Guatemala,2007,1089.059499,-0.753424942,43.5954208,70.409,6618.92,33.8,36.3,11.8,5.9,2.6,4.1,5.2,0,0.2,0,14.24285714,27.3,0.819,241.2
Hong Kong,2007,1545.353532,1.104014874,84.8705063,82.3268293,49190.62,5.5,2.1,2.2,8.5,7.4,26.2,45.5,0,2.5,0,13.91428571,3.266666667,0.098,585.5
Hungary,2007,3254.212086,0.747096717,95.894783,73.1512195,21751.83,1.6,7.2,5.8,18.1,6,22.8,37.7,0,0.9,0,14.17142857,4.866666667,0.146,544.6
India,2007,1420.964196,-1.154295802,53.3059692,65.35,4237.21,21.3,20.4,13.7,19.5,5.8,9.8,4,5.2,0.1,0,13.5,18.46666667,0.554,339.5
Indonesia,2007,-54.459975,-1.198065758,70.7596283,68.105,8506.68,29.7,34.8,8.4,12.6,1.2,10.2,1.5,0.2,0.8,0,14.05714286,24.3,0.729,261.4
Iran,2007,2237.525652,-0.931640446,78.067482,72.626,18749.34,20.3,13.5,9.4,22.8,6.5,0,22.6,0,4.9,0,13.58571429,14.4,0.432,401.5
Iraq,2007,2292.400179,-2.771050692,46.0039101,68.13,12718.41,15.5,12.4,2.7,10.4,0.7,5.1,38.2,0.6,0.4,0,12.14285714,10.2,0.306,399.9
Italy,2007,2889.16386,0.446970046,99.9449692,81.4341463,35158.44,7.3,23.8,22.4,24.7,4.1,4.9,11.6,0.4,0.8,0,14.11428571,17.83333333,0.535,362.4
Korea,2007,2477.635233,0.566254735,95.4069977,79.1195122,31736.63,16.9,13.2,9,11.6,5.9,24.5,19,0,0,0,14.3,13.03333333,0.391,426.2
Malaysia,2007,290.523396,0.193307161,80.6319275,73.931,20511.01,67.4,11.1,1.1,11.2,0.3,7.1,1.3,0,0.5,0,14.21428571,26.53333333,0.796,195.4
Mali,2007,1212.377748,0.230479196,23.9902592,53.553,1787.36,56.1,13,4.8,10.8,1.3,10.4,3.3,0,0.3,0,14.24285714,24.63333333,0.739,234.4
Mexico,2007,1630.780569,-0.729851604,87.5231018,75.255,15255.02,11.9,34.2,17.9,10.6,5.2,8.4,11.3,0,0.4,0,14.21428571,21.33333333,0.64,335.5
Morocco,2007,2193.627438,-0.501324236,52.2018509,73.009,6332.82,84.5,5.5,1.5,6.8,0.1,0.6,0.2,0,0.8,0,14.17142857,30.5,0.915,139.9
Netherlands,2007,3597.151677,0.778468788,118.214981,80.097561,45043.9,2.4,8.6,7,11.3,7.5,4.8,52.6,0.3,1.1,0,13.45714286,6,0.18,532.6
New Zealand,2007,-2822.138433,1.24336648,120.842812,80.1512195,31222.45,4.8,9.4,5.2,7.1,6.5,17,47.7,0,2.2,0,13.95714286,6.466666667,0.194,555.8
Norway,2007,4172.569656,1.145552516,112.829308,80.395122,57919.65,0.8,3.7,6.2,14.9,15,17.6,41.1,0.2,0.5,0,14.18571429,3.566666667,0.107,560.8
Peru,2007,-634.107723,-0.774885893,88.3636169,73.528,9731.49,10.4,30.1,21.9,12.6,6.8,9.4,7.9,0,0.9,0,14.15714286,20.8,0.624,340.5
Poland,2007,3582.441222,0.68284601,97.5615387,75.2439024,21072.53,9.5,47.9,17.6,13.6,3.6,2,5.2,0.4,0.3,0,14.2,25,0.75,284.8
Romania,2007,3170.078109,0.198067933,87.3059998,72.5658537,16976.26,4.4,22.7,18.6,30.7,3,15.5,4.5,0.1,0.6,0,14.2,15.23333333,0.457,374.1
Russia,2007,4245.15669,-0.863382518,82.1643677,67.5868293,20490.13,1.1,3.1,8.1,22.2,13.5,14.4,32.5,3.4,1.2,0,13.55714286,4.1,0.123,539.8
Rwanda,2007,-133.879182,-0.360214412,19.2765694,58.915,1349.67,82.1,12.2,1.3,0.8,1.8,1.6,0.2,0,0,0,14.28571429,31.86666667,0.956,133.6
Serbia,2007,3037.139949,-0.591357946,90.8078995,73.6317073,12798.27,4.3,6.4,15.6,38.8,13.4,7,10.5,3,1.2,0,13.71428571,8.766666667,0.263,436.4
Slovenia,2007,3184.435629,1.098629355,98.3882294,78.5609756,27826.87,1.5,16.6,9.7,26.8,7.3,5.7,29.7,0.5,2.1,0,13.9,9.266666667,0.278,472.5
South Africa,2007,-2108.604258,0.215346545,94.9352264,54.452,12913.54,16.6,37.8,14.9,5.9,1.1,10.1,13.6,0,0,0,14.28571429,23.1,0.693,321.8
Spain,2007,2791.993023,-0.27673164,120.242722,80.8731707,31682.71,1.7,13.9,6.6,14.7,4,11,46.5,0.2,0.4,0,14.05714286,7.4,0.222,524.8
Sweden,2007,4148.843109,1.271478295,102.006729,80.9,42223.92,0.8,2.4,4.7,9.5,16.6,15.4,50.5,0,0.1,0,14.27142857,2.633333333,0.079,587.5
Switzerland,2007,3230.454972,1.234408855,93.3035736,81.7414634,54858.45,2.5,9.5,12.3,21.6,9.5,11.9,31.7,0.1,0.8,0,14.14285714,8.1,0.243,493.6
Thailand,2007,1095.032208,-1.112847924,82.2775497,72.916,13196.82,22.7,19.7,45.1,2,0.8,9.6,0.1,0,0.1,0,14.28571429,29.16666667,0.875,268.6
Ukraine,2007,3338.180877,0.172825918,96.6398468,68.2221951,8559.93,2.6,6.5,11.7,32.9,10.1,11.2,21.5,2,1.6,0,13.78571429,6.933333333,0.208,480.9
United Kingdom,2007,3821.085519,0.574654937,98.1899567,79.4487805,36576.59,7.2,9.9,6.2,10.6,9.1,10,46.3,0.1,0.4,0,14.18571429,7.766666667,0.233,522
Burkina Faso,2007,844.444977,0.307008684,13.6418695,54.841,1502.27,54.7,18.3,3.8,7.5,1.4,9.5,4.7,0,0,0,14.27142857,25.6,0.768,229.6
Uruguay,2007,-2244.071751,0.835530937,91.3403702,76.251,16818.92,4.3,7.7,7.1,3.8,4.3,5.4,67.3,0,0.1,0,14.27142857,6.366666667,0.191,582.1
Argentina,2008,-2650.710693,-0.087755688,98.7242432,74.952,19322.23,5.7,15.6,16.9,11.5,7.3,15,28.1,0,0,0,14.3,12.73333333,0.382,456.8
Brazil,2008,-982.215276,-0.313424706,102.601608,72.618,15040.06,21.8,25.9,17.2,3.7,3.4,21.9,5.7,0,0.3,0,14.22857143,21.63333333,0.649,331
Bulgaria,2008,2948.637927,0.369860709,87.9987106,72.6634146,15747.09,1.3,5.6,8.5,39.5,6.4,14,23.1,1.6,0,0,14.05714286,5.133333333,0.154,486.5
Canada,2008,3872.995254,1.041372657,101.104248,80.5439024,41666.71,6.8,17.5,9.5,15.4,7.6,7.9,34.4,0.3,0.6,0,14.15714286,11.26666667,0.338,465.9
Chile,2008,-2461.585143,0.431912959,92.5875931,78.099,20259.73,7.8,18.8,15.3,8.7,7.8,12.1,26.7,0.3,2.6,0,13.88571429,13.96666667,0.419,450.4
China,2008,2474.45454,-0.493088424,82.2636871,73.553,10292.94,0.9,3.3,0.6,3.5,4.2,5.5,8.6,72,1.4,0,3.8,1.6,0.048,726.1
Colombia,2008,315.389892,-1.853462338,95.3237915,74.732,11604.1,10.8,34.5,18.8,7.6,5.9,10.7,11.2,0.5,0,0,14.21428571,21.36666667,0.641,342.7
Cyprus,2008,2423.722497,0.639003932,98.8857193,78.91,33313.58,5.4,13.5,14.9,39.7,5.7,5.8,14.9,0,0.1,0,14.27142857,11.26666667,0.338,404.4
Ethiopia,2008,631.005,-1.732120633,28.1964798,58.467,1134.78,37.3,39.9,9.7,4.1,0.3,6.1,2.6,0,0,0,14.28571429,28.96666667,0.869,218.9
Finland,2008,4272.76359,1.445868373,111.223869,79.2634146,40916.84,2,4.7,7.8,23.3,16.7,19.8,25.4,0,0,0,14.24285714,4.833333333,0.145,508.1
France,2008,3189.707022,0.543759167,106.61882,81.1121951,37440.63,1.6,5.6,3.8,16.3,5.2,7.2,59.9,0.2,0.1,0,14.22857143,3.666666667,0.11,580.4
Georgia,2008,2919.763083,-0.919675112,100.927689,70.765,8360.3,3.8,13.9,20.9,32,5.9,16.4,7.1,0,0,0,14.28571429,12.86666667,0.386,399.9
Germany,2008,3530.432679,0.943830788,101.807892,79.5341463,42541.53,1,6.9,10.5,16,7.5,10.6,7.9,0.5,2.1,37.1,8.628571429,6.133333333,0.184,660.6
Ghana,2008,548.310363,-0.029515961,44.4909706,59.741,3379.48,45.1,38,5.7,2.9,0.8,4.2,3.3,0,0,0,14.28571429,29.6,0.888,202.1
Guatemala,2008,1089.059499,-0.713971555,44.6203613,70.409,6910.88,33.8,36.3,11.8,5.9,2.6,4.1,5.2,0,0.2,0,14.24285714,27.3,0.819,241.2
Hong Kong,2008,1545.353532,1.131019473,86.2000122,82.3268293,52277.47,5.5,2.1,2.2,8.5,7.4,26.2,45.5,0,2.5,0,13.91428571,3.266666667,0.098,585.5
Hungary,2008,3254.212086,0.75026387,95.3394699,73.1512195,23038.81,1.6,7.2,5.8,18.1,6,22.8,37.7,0,0.9,0,14.17142857,4.866666667,0.146,544.6
India,2008,1420.964196,-1.109707355,57.0118904,65.35,4493.67,21.3,20.4,13.7,19.5,5.8,9.8,4,5.2,0.1,0,13.5,18.46666667,0.554,339.5
Indonesia,2008,-54.459975,-1.056791544,69.3752518,68.105,9095.74,29.7,34.8,8.4,12.6,1.2,10.2,1.5,0.2,0.8,0,14.05714286,24.3,0.729,261.4
Iran,2008,2237.525652,-0.939874709,79.2833328,72.626,19415.61,20.3,13.5,9.4,22.8,6.5,0,22.6,0,4.9,0,13.58571429,14.4,0.432,401.5
Italy,2008,2889.16386,0.547544241,100.590408,81.4341463,36598.01,7.3,23.8,22.4,24.7,4.1,4.9,11.6,0.4,0.8,0,14.11428571,17.83333333,0.535,362.4
Korea,2008,2477.635233,0.420968682,95.0182037,79.1195122,32546.75,16.9,13.2,9,11.6,5.9,24.5,19,0,0,0,14.3,13.03333333,0.391,426.2
Malaysia,2008,290.523396,0.108542368,80.3164902,73.931,21704.74,67.4,11.1,1.1,11.2,0.3,7.1,1.3,0,0.5,0,14.21428571,26.53333333,0.796,195.4
Mali,2008,1212.377748,0.209998891,26.3933105,53.553,1826.65,56.1,13,4.8,10.8,1.3,10.4,3.3,0,0.3,0,14.24285714,24.63333333,0.739,234.4
Mexico,2008,1630.780569,-0.804012358,89.5588379,75.255,16520.26,11.9,34.2,17.9,10.6,5.2,8.4,11.3,0,0.4,0,14.21428571,21.33333333,0.64,335.5
Morocco,2008,2193.627438,-0.571273208,54.015461,73.009,6712.32,84.5,5.5,1.5,6.8,0.1,0.6,0.2,0,0.8,0,14.17142857,30.5,0.915,139.9
Netherlands,2008,3597.151677,0.863551974,119.262398,80.097561,46599.02,2.4,8.6,7,11.3,7.5,4.8,52.6,0.3,1.1,0,13.45714286,6,0.18,532.6
New Zealand,2008,-2822.138433,1.162643433,119.86097,80.1512195,32701.38,4.8,9.4,5.2,7.1,6.5,17,47.7,0,2.2,0,13.95714286,6.466666667,0.194,555.8
Norway,2008,4172.569656,1.285434484,111.307053,80.395122,62076.74,0.8,3.7,6.2,14.9,15,17.6,41.1,0.2,0.5,0,14.18571429,3.566666667,0.107,560.8
Peru,2008,-634.107723,-0.892661691,89.8936615,73.528,10476.8,10.4,30.1,21.9,12.6,6.8,9.4,7.9,0,0.9,0,14.15714286,20.8,0.624,340.5
Poland,2008,3582.441222,0.911096275,96.8902206,75.2439024,22827.7,9.5,47.9,17.6,13.6,3.6,2,5.2,0.4,0.3,0,14.2,25,0.75,284.8
Romania,2008,3170.078109,0.180609092,92.7200089,72.5658537,17896.28,4.4,22.7,18.6,30.7,3,15.5,4.5,0.1,0.6,0,14.2,15.23333333,0.457,374.1
Russia,2008,4245.15669,-0.749933898,82.1235428,67.5868293,22798.67,1.1,3.1,8.1,22.2,13.5,14.4,32.5,3.4,1.2,0,13.55714286,4.1,0.123,539.8
Rwanda,2008,-133.879182,-0.327669591,20.7497406,58.915,1450.65,82.1,12.2,1.3,0.8,1.8,1.6,0.2,0,0,0,14.28571429,31.86666667,0.956,133.6
Serbia,2008,3037.139949,-0.542712986,91.6802597,73.6317073,13746.93,4.3,6.4,15.6,38.8,13.4,7,10.5,3,1.2,0,13.71428571,8.766666667,0.263,436.4
Slovenia,2008,3184.435629,1.149374366,98.6044998,78.5609756,28931.38,1.5,16.6,9.7,26.8,7.3,5.7,29.7,0.5,2.1,0,13.9,9.266666667,0.278,472.5
South Africa,2008,-2108.604258,0.049528994,93.113472,54.452,13393.77,16.6,37.8,14.9,5.9,1.1,10.1,13.6,0,0,0,14.28571429,23.1,0.693,321.8
Spain,2008,2791.993023,-0.383085459,119.132599,80.8731707,31867.97,1.7,13.9,6.6,14.7,4,11,46.5,0.2,0.4,0,14.05714286,7.4,0.222,524.8
Sweden,2008,4148.843109,1.128336549,100.968674,80.9,44608.58,0.8,2.4,4.7,9.5,16.6,15.4,50.5,0,0.1,0,14.27142857,2.633333333,0.079,587.5
Switzerland,2008,3230.454972,1.222245216,93.5561218,81.7414634,57987.5,2.5,9.5,12.3,21.6,9.5,11.9,31.7,0.1,0.8,0,14.14285714,8.1,0.243,493.6
Thailand,2008,1095.032208,-1.272093296,82.050293,72.916,13519.13,22.7,19.7,45.1,2,0.8,9.6,0.1,0,0.1,0,14.28571429,29.16666667,0.875,268.6
Ukraine,2008,3338.180877,0.042514395,95.2829666,68.2221951,9246.77,2.6,6.5,11.7,32.9,10.1,11.2,21.5,2,1.6,0,13.78571429,6.933333333,0.208,480.9
United Kingdom,2008,3821.085519,0.492879868,99.1683731,79.4487805,37379.29,7.2,9.9,6.2,10.6,9.1,10,46.3,0.1,0.4,0,14.18571429,7.766666667,0.233,522
Burkina Faso,2008,844.444977,0.118724599,16.0744991,54.841,1586.57,54.7,18.3,3.8,7.5,1.4,9.5,4.7,0,0,0,14.27142857,25.6,0.768,229.6
Uruguay,2008,-2244.071751,0.845082819,93.3961487,76.251,18002.89,4.3,7.7,7.1,3.8,4.3,5.4,67.3,0,0.1,0,14.27142857,6.366666667,0.191,582.1
Argentina,2009,-2650.710693,-0.234854579,101.948082,74.952,19641.35,5.7,15.6,16.9,11.5,7.3,15,28.1,0,0,0,14.3,12.73333333,0.382,456.8
Brazil,2009,-982.215276,0.163664222,102.123627,72.966,15046.29,21.8,25.9,17.2,3.7,3.4,21.9,5.7,0,0.3,0,14.22857143,21.63333333,0.649,331
Bulgaria,2009,2948.637927,0.353678972,87.1824112,72.9634146,16327.87,1.3,5.6,8.5,39.5,6.4,14,23.1,1.6,0,0,14.05714286,5.133333333,0.154,486.5
Canada,2009,3872.995254,1.127075911,101.503609,80.695122,42290.97,6.8,17.5,9.5,15.4,7.6,7.9,34.4,0.3,0.6,0,14.15714286,11.26666667,0.338,465.9
Chile,2009,-2461.585143,0.602584422,90.283432,78.33,21512,7.8,18.8,15.3,8.7,7.8,12.1,26.7,0.3,2.6,0,13.88571429,13.96666667,0.419,450.4
China,2009,2474.45454,-0.451781332,86.6089401,73.835,11168.7,0.9,3.3,0.6,3.5,4.2,5.5,8.6,72,1.4,0,3.8,1.6,0.048,726.1
Colombia,2009,315.389892,-1.832345843,100.09716,74.962,12018.65,10.8,34.5,18.8,7.6,5.9,10.7,11.2,0.5,0,0,14.21428571,21.36666667,0.641,342.7
Cyprus,2009,2423.722497,0.390287489,99.0468674,79.071,31834.52,5.4,13.5,14.9,39.7,5.7,5.8,14.9,0,0.1,0,14.27142857,11.26666667,0.338,404.4
Ethiopia,2009,631.005,-1.641072273,29.4654102,59.581,1213.6,37.3,39.9,9.7,4.1,0.3,6.1,2.6,0,0,0,14.28571429,28.96666667,0.869,218.9
Finland,2009,4272.76359,1.459671497,110.084267,79.5682927,40873.1,2,4.7,7.8,23.3,16.7,19.8,25.4,0,0,0,14.24285714,4.833333333,0.145,508.1
France,2009,3189.707022,0.512012899,106.454376,81.2146341,37679.12,1.6,5.6,3.8,16.3,5.2,7.2,59.9,0.2,0.1,0,14.22857143,3.666666667,0.11,580.4
Germany,2009,3530.432679,0.859902501,100.286728,79.7365854,43359.61,1,6.9,10.5,16,7.5,10.6,7.9,0.5,2.1,37.1,8.628571429,6.133333333,0.184,660.6
Ghana,2009,548.310363,0.027835818,45.7366104,60.216,3781.87,45.1,38,5.7,2.9,0.8,4.2,3.3,0,0,0,14.28571429,29.6,0.888,202.1
