Year,Miles_Equator,Political Stability,School Enrollment Female,Life expency,GDP_Per_Capita,No_religion,Roman_Catholic,Protestant,Orthodox,Jew,Muslim,Hindu,Buddhist,Other Christian,Other,DK,NA,,,
South Africa,2001,-2108.604258,-0.254789859,85.4968719,55.089,10061.59736,13.4,11.2,63.5,0.2,0.2,2.8,1.8,0,0,3.3,0,3.5,,
Zimbabwe,2001,-1312.065222,-1.515870214,42.2582397,44.01,1763.021151,14.2,17,42.6,0.1,0,0.5,0,0,0,25.2,0,0.4,,
Spain,2001,2791.993023,0.438226074,113.970528,79.3682927,26143.63217,15.7,80.8,0.6,0.1,0.1,0.1,0.1,0.2,0,1.1,0,1.2,,
Sweden,2001,4148.843109,1.475257516,170.476379,79.795122,33858.61143,24.2,1.4,0,0,2.6,0.1,0.4,0.3,0,70.9,0,0,,
North Macedonia,2001,2870.995815,-1.038219452,79.9734879,73.4365854,7172.004987,14,0.3,0.4,59.4,0.1,25.3,0,0,0,0.2,0,0.4,,
Egypt,2001,1850.618157,-0.414172113,79.1512527,68.796,6650.316968,0,0,0,0,0,94.3,0,0,5.6,0,0,0,,
Albania,2002,2839.579908,-0.30978024,71.5549927,74.579,5865.301904,12.9,58,18,0,8.8,0,1.3,0.6,0,0,0,0.4,,
Algeria,2002,1934.338134,-1.754409075,70.9762421,71.116,11411.19178,0,0,0,0,0,100,0,0,0,0,0,0,,
Argentina,2002,-2650.710693,-0.359838128,99.3284302,73.755,13575.3709,13,78.4,5.4,0.1,0.7,0,0,0.1,0,2.3,0,0.1,,
Bangladesh,2002,1634.264586,-1.115581155,53.0923004,65.956,1754.727931,0.1,0.1,0.1,0.1,0.1,91.9,7.1,0.5,0,0,0,0,,
China,2002,2474.45454,-0.565357924,57.9949417,71.732,5056.404724,93,0.8,2.5,0,0,0.4,0,2.1,0,0.2,0,1,,
India,2002,1420.964196,-1.50999701,37.7764702,62.907,2954.546053,6.6,2.9,0,0,0.2,10.8,72.2,1.4,0,4.3,0,1.4,,
Indonesia,2002,-54.459975,-2.09539485,55.0186806,66.037,6257.657476,0,6.5,0,0,0,92.9,0,0,0,0.5,0,0.1,,
Iran,2002,2237.525652,-0.779733181,74.0755997,70.553,14826.935,1.1,0,0,0,0,97,0,0,0.9,0.7,0.3,0,,
Iraq,2002,2292.400179,-2.39324522,28.4829597,68.983,9977.128043,0,0.2,0,0.1,0,61,0,0,0.2,37.8,0,0.6,,
Israel,2002,2142.177519,-1.518784404,104.825768,79.4073171,24853.77787,0,0,0,0,85.3,9.5,0,0,3.3,1.8,0,0.1,,
Korea,2002,2477.635233,0.248543099,96.4077377,76.4121951,25186.86757,36.7,13.8,23.7,1.8,0.1,0.2,0,20.8,0,2.7,0,0.3,,
Mexico,2002,1630.780569,-0.116878085,74.4729996,74.658,12657.63767,19.3,73.5,4.8,0,0.1,0,0.1,0.1,0,1.6,0,0.5,,
Morocco,2002,2193.627438,-0.407007366,36.0968513,69.193,4795.599121,0,0,0,0,0,100,0,0,0,0,0,0,,
Nigeria,2002,626.657931,-1.635588288,24.5261993,46.51,3468.792027,0.7,0,0,0,0.1,31.7,0,0,67,0.3,0,0.1,,
Peru,2002,-634.107723,-1.162101626,81.4958725,71.505,6614.108142,4.7,82.3,6.8,0,0.2,0,0,0.2,0,4.3,0,1.5,,
Philippines,2002,888.700749,-1.559809685,78.4151764,68.835,4372.500231,9.9,71.8,1.8,0,0,2.9,0,0,5.7,7.5,0,0.5,,
Serbia,2002,3037.139949,-0.582542062,90.5736694,72.2341463,9181.688301,5.9,6.1,0.3,79.1,0.2,4.3,0,0.1,0,2.4,1.6,0,,
South Africa,2002,-2108.604258,-0.312842578,85.8254166,55.089,10790.33064,13.4,11.2,63.5,0.2,0.2,2.8,1.8,0,0,3.3,0,3.5,,
Zimbabwe,2002,-1312.065222,-1.087580562,43.1062508,44.01,1706.3998,14.2,17,42.6,0.1,0,0.5,0,0,0,25.2,0,0.4,,
Spain,2002,2791.993023,-0.047485888,115.32386,79.3682927,27606.93405,15.7,80.8,0.6,0.1,0.1,0.1,0.1,0.2,0,1.1,0,1.2,,
Sweden,2002,4148.843109,1.341613293,165.334915,79.795122,34244.46502,24.2,1.4,0,0,2.6,0.1,0.4,0.3,0,70.9,0,0,,
North Macedonia,2002,2870.995815,-0.988194704,80.2750015,73.4365854,7848.882967,14,0.3,0.4,59.4,0.1,25.3,0,0,0,0.2,0,0.4,,
Egypt,2002,1850.618157,-0.640924513,80.7866821,68.796,7037.341176,0,0,0,0,0,94.3,0,0,5.6,0,0,0,,
Algeria,2003,1934.338134,-1.359188437,70.9762421,71.605,11788.56019,0,0,0,0,0,100,0,0,0,0,0,0,,
Argentina,2003,-2650.710693,-0.610934913,99.3284302,73.932,14967.625,13,78.4,5.4,0.1,0.7,0,0,0.1,0,2.3,0,0.1,,
Bangladesh,2003,1634.264586,-1.360476375,53.0923004,66.43,1903.738526,0.1,0.1,0.1,0.1,0.1,91.9,7.1,0.5,0,0,0,0,,
China,2003,2474.45454,-0.390680671,57.9949417,72.061,5842.778636,93,0.8,2.5,0,0,0.4,0,2.1,0,0.2,0,1,,
India,2003,1420.964196,-1.28043294,37.7764702,63.304,3240.736555,6.6,2.9,0,0,0.2,10.8,72.2,1.4,0,4.3,0,1.4,,
Indonesia,2003,-54.459975,-1.908605576,55.0186806,66.321,6715.707869,0,6.5,0,0,0,92.9,0,0,0,0.5,0,0.1,,
Iran,2003,2237.525652,-0.76182431,74.0755997,70.921,15868.37823,1.1,0,0,0,0,97,0,0,0.9,0.7,0.3,0,,
Iraq,2003,2292.400179,-3.180351734,28.4829597,68.827,10657.53857,0,0.2,0,0.1,0,61,0,0,0.2,37.8,0,0.6,,
Israel,2003,2142.177519,-1.322681308,104.825768,79.4512195,25700.93836,0,0,0,0,85.3,9.5,0,0,3.3,1.8,0,0.1,,
Korea,2003,2477.635233,0.428842574,96.4077377,76.7658537,26884.26733,36.7,13.8,23.7,1.8,0.1,0.2,0,20.8,0,2.7,0,0.3,,
