Country,Year,Miles_Equator,Political_Stability,School_Enrollment_F,Life_Expency,GDP_Per_Capita,None at all,2,3,4,5,6,7,8,9,A great deal,Don't know,No answer,Base mean,Freedom_Mean,Std Dev.,,Freedom
Romania,2005,3170.078109,0.085602649,83.2716827,71.9121951,16782.22907,24.4,16,18,11.7,7.1,8.8,2.6,3.6,1.5,1.2,5,0.6,1676,7.64,2.22,0.772,0.807531381
Russia,2005,4245.15669,-1.267701387,82.4651566,65.5297561,20163.60938,23.7,9.4,15,11.2,8.4,14.5,4.4,4.3,1.7,4.3,2.7,0.2,1974,7.03,2.56,0.677,0.694358974
Rwanda,2005,-133.879182,-1.000212431,15.7443895,55.254,1224.79498,8.4,8.2,15,17.7,20.2,17.9,5,2.5,3,1.3,0.9,0.1,1489,6.52,2.01,0.695,0.700604839
Serbia,2005,3037.139949,-0.762413561,89.9540329,72.8341463,12632.07784,6.7,7.5,18,19.5,16.1,14.3,6.2,5.8,1.6,2,0.7,1.5,1193,6.45,2.06,0.678,0.672619048
Slovenia,2005,3184.435629,1.092811227,96.9416428,77.6121951,29604.29147,22.9,14,19,13.4,9.9,12,2.7,2.1,1.1,1.8,1.3,0.4,1020,7.49,2.17,0.792,0.799192735
South Africa,2005,-2108.60426,-0.162092119,90.5263596,53.447,12857.98651,25.8,15,17,13.1,9.3,8.2,3.5,2.4,1.8,1.7,1.7,0,2938,7.61,2.23,0.802,0.815869786
Spain,2005,2791.993023,0.193026617,121.179321,80.1707317,33263.2724,8.7,5.8,19,25.7,16.5,13.4,2.8,3,0.6,0.2,2.5,0.6,1148,6.88,1.73,0.757,0.77166157
Sweden,2005,4148.843109,1.299904823,103.819672,80.5463415,42158.2957,16,18,29,18.4,8.6,5.5,1.2,1.4,0.3,0.5,0,0.4,999,7.81,1.65,0.9,0.896414343
Switzerland,2005,3230.454972,1.196782112,92.4630737,81.2365854,54096.80786,18,11,26,20.4,10.5,10.3,1.3,1.7,0.3,0,0.1,0,1239,7.58,1.73,0.859,0.85985986
Thailand,2005,1095.032208,-0.870126605,75.3994064,72.099,12256.50575,6.6,9.3,29,20.7,15.1,10.3,2.6,2.5,1.2,2.6,0,0.5,1526,6.92,1.92,0.807,0.802985075
Ukraine,2005,3338.180877,-0.285366565,91.833168,67.9568293,9434.435547,6.6,8.8,14,15.2,13.1,16.2,8.3,6.1,6.6,3.3,1.7,0.2,981,6.02,2.37,0.577,0.585786802
United Kingdom,2005,3821.085519,0.12418776,107.039726,79.0487805,36863.58476,13.9,13,22,20.5,12.5,9.9,2.4,2,1,1.2,1,0.5,1024,7.3,1.92,0.819,0.823115578
United States,2005,2559.22656,-0.060543258,95.9484787,77.4878049,48570.04598,16.5,16,24,18.1,10.6,9.1,2.3,0.7,0,0.8,0,1.1,1225,7.63,1.77,0.852,0.84272997
Burkina Faso,2005,844.444977,-0.062652916,11.8204002,53.31,1403.295796,10.6,5.9,8.3,8.1,10.2,23.6,6.2,4.5,4.3,9.1,5.7,2.4,1394,5.7,2.66,0.431,0.445708376
Uruguay,2005,-2244.07175,0.777662575,108.542,75.826,14778.27902,27.2,9.6,23,16.2,9.4,7,1.6,1.2,0.5,1.8,0,2.7,973,7.79,2.01,0.854,0.831548199
Argentina,2006,-2650.71069,0.001967763,96.3841476,74.62,16330.6328,30.7,9.6,19,13.7,8,8.8,2,0.9,0.2,1.6,4.7,0.8,947,7.89,2.05,0.81,0.842872008
Bulgaria,2006,2948.637927,0.39442119,87.9584579,72.6121951,14181.15468,5.5,5.9,14,14.7,13.4,18.2,10.6,7.3,5.1,3.8,1.4,0.1,986,5.81,2.28,0.535,0.542046606
Canada,2006,3872.995254,1.034956574,100.669502,80.3439024,38865.41346,16.7,15,28,15.5,10.1,9.9,1.8,0.8,0.6,0.7,0.9,0,2144,7.63,1.79,0.853,0.86074672
Chile,2006,-2461.58514,0.613005877,94.2091827,77.865,16068.03767,21.5,8.5,16,14.1,12.9,11,7.5,2.2,1.6,0.9,3.1,0.4,965,7.18,2.22,0.73,0.750256937
China,2006,2474.45454,-0.540030122,70.9691467,73.271,8305.760185,21,11,20,11.3,10.2,8.9,3.7,3.2,1.9,2.7,6.3,0.1,1863,7.29,2.35,0.735,0.78358209
Colombia,2006,315.389892,-1.90479672,91.1382294,74.5,10256.39082,33.2,18,19,10.1,5.1,5.4,2.7,1.9,1.2,2.4,0.8,0,3002,8.04,2.2,0.854,0.860887097
Cyprus,2006,2423.722497,0.539664984,97.4348831,78.764,33884.87891,20.9,14,22,16.2,9,9.7,3.9,2.4,0.7,1.7,0,0,1050,7.49,2.1,0.821,0.821
Ethiopia,2006,631.005,-1.740132213,22.6457901,57.334,928.3920242,6.3,5.7,13,20.1,19.5,16.5,6.1,6.7,3.1,2.3,0,0.3,1495,6.17,2.08,0.646,0.644067797
Finland,2006,4272.76359,1.501111031,113.819412,79.2146341,37972.27005,9.1,19,29,19.9,9.4,7.3,2.8,2,0.8,0.6,0,0,1014,7.46,1.74,0.864,0.864
France,2006,3189.707022,0.595505774,106.92614,80.8121951,34678.06232,9.9,9,18,19.1,12.6,20,5.1,3.1,1.3,1.8,0.1,0.1,999,6.68,2.05,0.686,0.686
Georgia,2006,2919.763083,-0.966098785,99.2053909,70.635,6984.247646,15.1,4.7,14,12.8,10,19.1,6.9,4.1,2.3,4.7,5.8,0.4,1407,6.4,2.48,0.566,0.598308668
Germany,2006,3530.432679,1.025069594,101.511398,79.1317073,36815.84405,10.7,11,18,19.3,13.3,13.5,5.9,4.3,1.6,1.4,0.9,0.4,2037,6.8,2.09,0.723,0.726633166
Ghana,2006,548.310363,0.006396186,38.1818886,59.234,2792.265433,18.3,14,20,12.5,12.4,6.5,4.9,3.1,2.9,4.3,0.8,0.2,1518,7.09,2.46,0.772,0.77665996
Guatemala,2006,1089.059499,-0.735238791,41.7966995,70.082,6474.796935,15.3,17,27,15,10.1,6.2,3,2.2,0.7,3.3,0.5,0,995,7.44,2.12,0.844,0.848241206
Hong Kong,2006,1545.353532,1.190912247,83.065918,82.3756098,45861.05169,6,7.3,15,17.3,21.6,16.9,6.9,3.8,1.5,2.6,0,1.2,1237,6.32,2.01,0.672,0.664031621
Hungary,2006,3254.212086,0.98567611,95.6179276,73.097561,20729.78393,5,4.9,17,14,13.9,16.8,12.3,10.2,2.9,3,0.2,0.2,1003,5.84,2.2,0.548,0.548
