Country,Year,Miles_Equator,Political_Stability,School_Enrollment_F,Life_Expency,GDP_Per_Capita,None at all,2,3,4,5,6,7,8,9,A great deal,Don't know,No answer,Base mean,Freedom_Mean,Std Dev.,,Freedom
United Kingdom,2007,3821.085519,0.667080104,99.7673416,79.2487805,35212.42048,13.9,13,22,20.5,12.5,9.9,2.4,2,1,1.2,1,0.5,1024,7.3,1.92,0.819,0.823115578
Burkina Faso,2007,844.444977,0.155799553,12.6050596,54.063,1410.772645,10.6,5.9,8.3,8.1,10.2,23.6,6.2,4.5,4.3,9.1,5.7,2.4,1394,5.7,2.66,0.431,0.445708376
Uruguay,2007,-2244.07175,0.898599565,108.505882,76.046,15460.37311,27.2,9.6,23,16.2,9.4,7,1.6,1.2,0.5,1.8,0,2.7,973,7.79,2.01,0.854,0.831548199
Argentina,2008,-2650.71069,0.097796634,96.9386215,74.787,18063.91434,30.7,9.6,19,13.7,8,8.8,2,0.9,0.2,1.6,4.7,0.8,947,7.89,2.05,0.81,0.842872008
Brazil,2008,-982.215276,-0.357948095,100.83815,72.618,14301.12268,31.3,11,18,13.5,7.8,11.3,2.9,1.9,0.6,1.8,0.4,0.3,1490,7.74,2.19,0.816,0.816816817
Bulgaria,2008,2948.637927,0.357635468,88.4063416,72.6634146,14956.48718,5.5,5.9,14,14.7,13.4,18.2,10.6,7.3,5.1,3.8,1.4,0.1,986,5.81,2.28,0.535,0.542046606
Canada,2008,3872.995254,1.007010698,100.748367,80.5439024,40099.44824,16.7,15,28,15.5,10.1,9.9,1.8,0.8,0.6,0.7,0.9,0,2144,7.63,1.79,0.853,0.86074672
Chile,2008,-2461.58514,0.406370878,93.2716827,78.099,18042.79037,21.5,8.5,16,14.1,12.9,11,7.5,2.2,1.6,0.9,3.1,0.4,965,7.18,2.22,0.73,0.750256937
China,2008,2474.45454,-0.500553727,76.7652206,73.553,9254.779603,21,11,20,11.3,10.2,8.9,3.7,3.2,1.9,2.7,6.3,0.1,1863,7.29,2.35,0.735,0.78358209
Colombia,2008,315.389892,-1.806527257,94.1192169,74.732,10732.82234,33.2,18,19,10.1,5.1,5.4,2.7,1.9,1.2,2.4,0.8,0,3002,8.04,2.2,0.854,0.860887097
Cyprus,2008,2423.722497,0.537055731,98.693718,78.91,33423.5,20.9,14,22,16.2,9,9.7,3.9,2.4,0.7,1.7,0,0,1050,7.49,2.1,0.821,0.821
Ethiopia,2008,631.005,-1.806409359,26.0020809,58.467,1028.436486,6.3,5.7,13,20.1,19.5,16.5,6.1,6.7,3.1,2.3,0,0.3,1495,6.17,2.08,0.646,0.644067797
Finland,2008,4272.76359,1.488697052,112.618111,79.2634146,38956.47222,9.1,19,29,19.9,9.4,7.3,2.8,2,0.8,0.6,0,0,1014,7.46,1.74,0.864,0.864
France,2008,3189.707022,0.563000798,106.790291,81.1121951,35902.90311,9.9,9,18,19.1,12.6,20,5.1,3.1,1.3,1.8,0.1,0.1,999,6.68,2.05,0.686,0.686
Germany,2008,3530.432679,0.995823801,100.868668,79.5341463,38952.6946,10.7,11,18,19.3,13.3,13.5,5.9,4.3,1.6,1.4,0.9,0.4,2037,6.8,2.09,0.723,0.726633166
Ghana,2008,548.310363,-0.073061265,42.3754005,59.741,2974.159419,18.3,14,20,12.5,12.4,6.5,4.9,3.1,2.9,4.3,0.8,0.2,1518,7.09,2.46,0.772,0.77665996
Guatemala,2008,1089.059499,-0.753424942,43.5954208,70.409,6618.916031,15.3,17,27,15,10.1,6.2,3,2.2,0.7,3.3,0.5,0,995,7.44,2.12,0.844,0.848241206
Hong Kong,2008,1545.353532,1.104014874,84.8705063,82.3268293,49190.61995,6,7.3,15,17.3,21.6,16.9,6.9,3.8,1.5,2.6,0,1.2,1237,6.32,2.01,0.672,0.664031621
Hungary,2008,3254.212086,0.747096717,95.894783,73.1512195,21751.83384,5,4.9,17,14,13.9,16.8,12.3,10.2,2.9,3,0.2,0.2,1003,5.84,2.2,0.548,0.548
India,2008,1420.964196,-1.154295802,53.3059692,65.35,4237.208788,23.8,0,0,35,0,0,24.2,0,0,3.7,13.2,0.1,1734,6.73,2.54,0.588,0.676639816
Indonesia,2008,-54.459975,-1.198065758,70.7596283,68.105,8506.680565,23.1,9.8,16,13.9,9.4,13.4,2.3,1.3,0.3,3.2,3.9,3.1,1861,7.39,2.27,0.722,0.727822581
Iran,2008,2237.525652,-0.931640446,78.067482,72.626,18749.33704,15.3,12,18,15.8,13.6,14.9,3.8,2.6,1.8,1.3,0,0.3,2658,7.06,2.12,0.747,0.744765703
Iraq,2008,2292.400179,-2.771050692,46.0039101,68.13,12718.4112,9,6,9.6,9.4,11.3,17.4,9.3,7.6,5.4,11.9,2.7,0.5,2615,5.41,2.73,0.453,0.463190184
Italy,2008,2889.16386,0.446970046,99.9449692,81.4341463,35158.44184,5.7,7,16,20.1,18.1,13.3,6.7,4.8,3.4,1.9,1.4,1.2,986,6.34,2.06,0.669,0.670340681
Jordan,2008,2110.376316,-0.300741792,86.8393326,72.931,9461.328429,35.2,11,14,9.7,7.9,9.2,3.9,1.2,1.4,4.9,0,1.4,1183,7.64,2.56,0.778,0.767258383
Korea,2008,2477.635233,0.566254735,95.4069977,79.1195122,31736.62844,7.1,9.9,24,19.8,11.4,12.3,7.8,3.8,2.1,1.9,0,0,1200,6.68,2.08,0.722,0.722
Malaysia,2008,290.523396,0.193307161,80.6319275,73.931,20511.00574,11.4,10,26,25.1,15.2,8.2,1.5,0.9,0.3,1.3,0,0,1201,7.31,1.71,0.877,0.877
Mali,2008,1212.377748,0.230479196,23.9902592,53.553,1787.357586,16.3,4.7,9,11.1,10.2,22.8,4.9,2.7,2,9.6,2.5,3.6,1433,6.12,2.72,0.513,0.507418398
Mexico,2008,1630.780569,-0.729851604,87.5231018,75.255,15255.01905,40.5,16,19,7.4,3.3,5.2,1,0.9,0.4,2.7,1.8,1.8,1504,8.38,2.08,0.862,0.862
Morocco,2008,2193.627438,-0.501324236,52.2018509,73.009,6332.819824,4.2,5.7,9.2,12.8,12,20.1,12.8,8.3,4.3,9.3,0,1.2,1185,5.3,2.4,0.439,0.433794466
Netherlands,2008,3597.151677,0.778468788,118.214981,80.097561,45043.90423,4.5,7.5,21,27.6,13.3,15.6,4.3,2.6,1.5,1.1,0.6,0,1043,6.68,1.78,0.739,0.743460765
New Zealand,2008,-2822.13843,1.24336648,120.842812,80.1512195,31222.45448,22,17,24,13.8,7.1,6.6,2.1,1.4,0.2,0.7,2.4,2.9,903,7.91,1.83,0.839,0.834825871
Norway,2008,4172.569656,1.145552516,112.829308,80.395122,57919.65195,12,18,33,18.9,7.6,7.9,1.1,1.1,0.2,0.3,0.3,0.3,1019,7.71,1.57,0.895,0.895
Peru,2008,-634.107723,-0.774885893,88.3636169,73.528,9731.487772,20.9,8.6,16,15.8,12.4,13.6,4.8,3.3,1.2,1.6,0,1.9,1472,7.13,2.23,0.737,0.723258096
Poland,2008,3582.441222,0.68284601,97.5615387,75.2439024,21072.52658,8.9,9.7,20,15.3,11.3,16.5,4.4,3.6,2.3,4.1,3.9,0,961,6.57,2.28,0.652,0.678459938
Romania,2008,3170.078109,0.198067933,87.3059998,72.5658537,16976.25909,24.4,16,18,11.7,7.1,8.8,2.6,3.6,1.5,1.2,5,0.6,1676,7.64,2.22,0.772,0.807531381
Russia,2008,4245.15669,-0.863382518,82.1643677,67.5868293,20490.12695,23.7,9.4,15,11.2,8.4,14.5,4.4,4.3,1.7,4.3,2.7,0.2,1974,7.03,2.56,0.677,0.694358974
Rwanda,2008,-133.879182,-0.360214412,19.2765694,58.915,1349.667255,8.4,8.2,15,17.7,20.2,17.9,5,2.5,3,1.3,0.9,0.1,1489,6.52,2.01,0.695,0.700604839
Serbia,2008,3037.139949,-0.591357946,90.8078995,73.6317073,12798.27213,6.7,7.5,18,19.5,16.1,14.3,6.2,5.8,1.6,2,0.7,1.5,1193,6.45,2.06,0.678,0.672619048
Slovenia,2008,3184.435629,1.098629355,98.3882294,78.5609756,27826.87234,22.9,14,19,13.4,9.9,12,2.7,2.1,1.1,1.8,1.3,0.4,1020,7.49,2.17,0.792,0.799192735
South Africa,2008,-2108.60426,0.215346545,94.9352264,54.452,12913.54048,25.8,15,17,13.1,9.3,8.2,3.5,2.4,1.8,1.7,1.7,0,2938,7.61,2.23,0.802,0.815869786
Spain,2008,2791.993023,-0.27673164,120.242722,80.8731707,31682.7131,8.7,5.8,19,25.7,16.5,13.4,2.8,3,0.6,0.2,2.5,0.6,1148,6.88,1.73,0.757,0.77166157
Sweden,2008,4148.843109,1.271478295,102.006729,80.9,42223.91967,16,18,29,18.4,8.6,5.5,1.2,1.4,0.3,0.5,0,0.4,999,7.81,1.65,0.9,0.896414343
Switzerland,2008,3230.454972,1.234408855,93.3035736,81.7414634,54858.44808,18,11,26,20.4,10.5,10.3,1.3,1.7,0.3,0,0.1,0,1239,7.58,1.73,0.859,0.85985986
Thailand,2008,1095.032208,-1.112847924,82.2775497,72.916,13196.8176,6.6,9.3,29,20.7,15.1,10.3,2.6,2.5,1.2,2.6,0,0.5,1526,6.92,1.92,0.807,0.802985075
Ukraine,2008,3338.180877,0.172825918,96.6398468,68.2221951,8559.929688,6.6,8.8,14,15.2,13.1,16.2,8.3,6.1,6.6,3.3,1.7,0.2,981,6.02,2.37,0.577,0.585786802
United Kingdom,2008,3821.085519,0.574654937,98.1899567,79.4487805,36576.58654,13.9,13,22,20.5,12.5,9.9,2.4,2,1,1.2,1,0.5,1024,7.3,1.92,0.819,0.823115578
Burkina Faso,2008,844.444977,0.307008684,13.6418695,54.841,1502.268711,10.6,5.9,8.3,8.1,10.2,23.6,6.2,4.5,4.3,9.1,5.7,2.4,1394,5.7,2.66,0.431,0.445708376
Uruguay,2008,-2244.07175,0.835530937,91.3403702,76.251,16818.92257,27.2,9.6,23,16.2,9.4,7,1.6,1.2,0.5,1.8,0,2.7,973,7.79,2.01,0.854,0.831548199
Argentina,2009,-2650.71069,-0.087755688,98.7242432,74.952,19322.22712,30.7,9.6,19,13.7,8,8.8,2,0.9,0.2,1.6,4.7,0.8,947,7.89,2.05,0.81,0.842872008
Brazil,2009,-982.215276,-0.313424706,102.601608,72.966,15040.06109,31.3,11,18,13.5,7.8,11.3,2.9,1.9,0.6,1.8,0.4,0.3,1490,7.74,2.19,0.816,0.816816817
Bulgaria,2009,2948.637927,0.369860709,87.9987106,72.9634146,15747.08538,5.5,5.9,14,14.7,13.4,18.2,10.6,7.3,5.1,3.8,1.4,0.1,986,5.81,2.28,0.535,0.542046606
Canada,2009,3872.995254,1.041372657,101.104248,80.695122,41666.70763,16.7,15,28,15.5,10.1,9.9,1.8,0.8,0.6,0.7,0.9,0,2144,7.63,1.79,0.853,0.86074672
Chile,2009,-2461.58514,0.431912959,92.5875931,78.33,20259.72939,21.5,8.5,16,14.1,12.9,11,7.5,2.2,1.6,0.9,3.1,0.4,965,7.18,2.22,0.73,0.750256937
China,2009,2474.45454,-0.493088424,82.2636871,73.835,10292.94048,21,11,20,11.3,10.2,8.9,3.7,3.2,1.9,2.7,6.3,0.1,1863,7.29,2.35,0.735,0.78358209
Colombia,2009,315.389892,-1.853462338,95.3237915,74.962,11604.10228,33.2,18,19,10.1,5.1,5.4,2.7,1.9,1.2,2.4,0.8,0,3002,8.04,2.2,0.854,0.860887097
Cyprus,2009,2423.722497,0.639003932,98.8857193,79.071,33313.57813,20.9,14,22,16.2,9,9.7,3.9,2.4,0.7,1.7,0,0,1050,7.49,2.1,0.821,0.821
Ethiopia,2009,631.005,-1.732120633,28.1964798,59.581,1134.784509,6.3,5.7,13,20.1,19.5,16.5,6.1,6.7,3.1,2.3,0,0.3,1495,6.17,2.08,0.646,0.644067797
Finland,2009,4272.76359,1.445868373,111.223869,79.5682927,40916.83858,9.1,19,29,19.9,9.4,7.3,2.8,2,0.8,0.6,0,0,1014,7.46,1.74,0.864,0.864
France,2009,3189.707022,0.543759167,106.61882,81.2146341,37440.63347,9.9,9,18,19.1,12.6,20,5.1,3.1,1.3,1.8,0.1,0.1,999,6.68,2.05,0.686,0.686
Georgia,2009,2919.763083,-0.919675112,100.927689,70.946,8360.297207,15.1,4.7,14,12.8,10,19.1,6.9,4.1,2.3,4.7,5.8,0.4,1407,6.4,2.48,0.566,0.598308668
Germany,2009,3530.432679,0.943830788,101.807892,79.7365854,42541.53109,10.7,11,18,19.3,13.3,13.5,5.9,4.3,1.6,1.4,0.9,0.4,2037,6.8,2.09,0.723,0.726633166
Ghana,2009,548.310363,-0.029515961,44.4909706,60.216,3379.484599,18.3,14,20,12.5,12.4,6.5,4.9,3.1,2.9,4.3,0.8,0.2,1518,7.09,2.46,0.772,0.77665996
Guatemala,2009,1089.059499,-0.713971555,44.6203613,70.75,6910.876502,15.3,17,27,15,10.1,6.2,3,2.2,0.7,3.3,0.5,0,995,7.44,2.12,0.844,0.848241206
Hong Kong,2009,1545.353532,1.131019473,86.2000122,82.3756098,52277.46644,6,7.3,15,17.3,21.6,16.9,6.9,3.8,1.5,2.6,0,1.2,1237,6.32,2.01,0.672,0.664031621
Hungary,2009,3254.212086,0.75026387,95.3394699,73.702439,23038.80802,5,4.9,17,14,13.9,16.8,12.3,10.2,2.9,3,0.2,0.2,1003,5.84,2.2,0.548,0.548
India,2009,1420.964196,-1.109707355,57.0118904,65.794,4493.669466,23.8,0,0,35,0,0,24.2,0,0,3.7,13.2,0.1,1734,6.73,2.54,0.588,0.676639816
Indonesia,2009,-54.459975,-1.056791544,69.3752518,68.485,9095.741723,23.1,9.8,16,13.9,9.4,13.4,2.3,1.3,0.3,3.2,3.9,3.1,1861,7.39,2.27,0.722,0.727822581
Iran,2009,2237.525652,-0.939874709,79.2833328,73.027,19415.61396,15.3,12,18,15.8,13.6,14.9,3.8,2.6,1.8,1.3,0,0.3,2658,7.06,2.12,0.747,0.744765703
Italy,2009,2889.16386,0.547544241,100.590408,81.4853659,36598.01497,5.7,7,16,20.1,18.1,13.3,6.7,4.8,3.4,1.9,1.4,1.2,986,6.34,2.06,0.669,0.670340681
Jordan,2009,2110.376316,-0.370714009,87.3076401,73.099,9402.616204,35.2,11,14,9.7,7.9,9.2,3.9,1.2,1.4,4.9,0,1.4,1183,7.64,2.56,0.778,0.767258383
Korea,2009,2477.635233,0.420968682,95.0182037,79.5170732,32546.75365,7.1,9.9,24,19.8,11.4,12.3,7.8,3.8,2.1,1.9,0,0,1200,6.68,2.08,0.722,0.722
Malaysia,2009,290.523396,0.108542368,80.3164902,74.118,21704.74427,11.4,10,26,25.1,15.2,8.2,1.5,0.9,0.3,1.3,0,0,1201,7.31,1.71,0.877,0.877
Mali,2009,1212.377748,0.209998891,26.3933105,54.193,1826.647557,16.3,4.7,9,11.1,10.2,22.8,4.9,2.7,2,9.6,2.5,3.6,1433,6.12,2.72,0.513,0.507418398
Mexico,2009,1630.780569,-0.804012358,89.5588379,75.194,16520.25922,40.5,16,19,7.4,3.3,5.2,1,0.9,0.4,2.7,1.8,1.8,1504,8.38,2.08,0.862,0.862
Morocco,2009,2193.627438,-0.571273208,54.015461,73.546,6712.323242,4.2,5.7,9.2,12.8,12,20.1,12.8,8.3,4.3,9.3,0,1.2,1185,5.3,2.4,0.439,0.433794466
Netherlands,2009,3597.151677,0.863551974,119.262398,80.2512195,46599.02103,4.5,7.5,21,27.6,13.3,15.6,4.3,2.6,1.5,1.1,0.6,0,1043,6.68,1.78,0.739,0.743460765
New Zealand,2009,-2822.13843,1.162643433,119.86097,80.3512195,32701.3786,22,17,24,13.8,7.1,6.6,2.1,1.4,0.2,0.7,2.4,2.9,903,7.91,1.83,0.839,0.834825871
Norway,2009,4172.569656,1.285434484,111.307053,80.5926829,62076.74066,12,18,33,18.9,7.6,7.9,1.1,1.1,0.2,0.3,0.3,0.3,1019,7.71,1.57,0.895,0.895
Peru,2009,-634.107723,-0.892661691,89.8936615,73.826,10476.79633,20.9,8.6,16,15.8,12.4,13.6,4.8,3.3,1.2,1.6,0,1.9,1472,7.13,2.23,0.737,0.723258096
Poland,2009,3582.441222,0.911096275,96.8902206,75.5439024,22827.69814,8.9,9.7,20,15.3,11.3,16.5,4.4,3.6,2.3,4.1,3.9,0,961,6.57,2.28,0.652,0.678459938
Romania,2009,3170.078109,0.180609092,92.7200089,72.5658537,17896.27586,24.4,16,18,11.7,7.1,8.8,2.6,3.6,1.5,1.2,5,0.6,1676,7.64,2.22,0.772,0.807531381
Russia,2009,4245.15669,-0.749933898,82.1235428,67.9492683,22798.67383,23.7,9.4,15,11.2,8.4,14.5,4.4,4.3,1.7,4.3,2.7,0.2,1974,7.03,2.56,0.677,0.694358974
Rwanda,2009,-133.879182,-0.327669591,20.7497406,60.612,1450.651467,8.4,8.2,15,17.7,20.2,17.9,5,2.5,3,1.3,0.9,0.1,1489,6.52,2.01,0.695,0.700604839
Serbia,2009,3037.139949,-0.542712986,91.6802597,73.8853659,13746.92502,6.7,7.5,18,19.5,16.1,14.3,6.2,5.8,1.6,2,0.7,1.5,1193,6.45,2.06,0.678,0.672619048
Slovenia,2009,3184.435629,1.149374366,98.6044998,78.7658537,28931.38332,22.9,14,19,13.4,9.9,12,2.7,2.1,1.1,1.8,1.3,0.4,1020,7.49,2.17,0.792,0.799192735
South Africa,2009,-2108.60426,0.049528994,93.113472,55.36,13393.76689,25.8,15,17,13.1,9.3,8.2,3.5,2.4,1.8,1.7,1.7,0,2938,7.61,2.23,0.802,0.815869786
Spain,2009,2791.993023,-0.383085459,119.132599,81.1756098,31867.97324,8.7,5.8,19,25.7,16.5,13.4,2.8,3,0.6,0.2,2.5,0.6,1148,6.88,1.73,0.757,0.77166157
Sweden,2009,4148.843109,1.128336549,100.968674,81.1,44608.58026,16,18,29,18.4,8.6,5.5,1.2,1.4,0.3,0.5,0,0.4,999,7.81,1.65,0.9,0.896414343
Switzerland,2009,3230.454972,1.222245216,93.5561218,81.9926829,57987.50203,18,11,26,20.4,10.5,10.3,1.3,1.7,0.3,0,0.1,0,1239,7.58,1.73,0.859,0.85985986
Thailand,2009,1095.032208,-1.272093296,82.050293,73.341,13519.12902,6.6,9.3,29,20.7,15.1,10.3,2.6,2.5,1.2,2.6,0,0.5,1526,6.92,1.92,0.807,0.802985075
Ukraine,2009,3338.180877,0.042514395,95.2829666,68.2514634,9246.769531,6.6,8.8,14,15.2,13.1,16.2,8.3,6.1,6.6,3.3,1.7,0.2,981,6.02,2.37,0.577,0.585786802
United Kingdom,2009,3821.085519,0.492879868,99.1683731,79.6,37379.29097,13.9,13,22,20.5,12.5,9.9,2.4,2,1,1.2,1,0.5,1024,7.3,1.92,0.819,0.823115578
Burkina Faso,2009,844.444977,0.118724599,16.0744991,55.618,1586.571161,10.6,5.9,8.3,8.1,10.2,23.6,6.2,4.5,4.3,9.1,5.7,2.4,1394,5.7,2.66,0.431,0.445708376
Uruguay,2009,-2244.07175,0.845082819,93.3961487,76.437,18002.89383,27.2,9.6,23,16.2,9.4,7,1.6,1.2,0.5,1.8,0,2.7,973,7.79,2.01,0.854,0.831548199
Algeria,2010,1934.338134,-1.259367585,98.6929626,74.938,13096.88473,15.9,6.9,14,17.2,11.6,18.2,4.2,3.1,1.9,4.2,1.8,1.4,1161,6.66,2.37,0.656,0.658634538
Argentina,2010,-2650.710693,-0.084797867,104.15448,75.278,18063.91434,11.8,10,26,23.1,14.3,7.4,3.4,0.8,0.4,0.5,0.5,1.6,1008,7.36,1.67,0.852,0.84272997
Armenia,2010,2764.767831,0.071855329,103.744003,73.331,7507.144766,21.9,6,13,8.3,6.5,18.7,7.4,5.7,4.5,4.2,3.6,0,1060,6.52,2.73,0.557,0.57780083
Belarus,2010,3705.976683,-0.094990097,106.412262,70.404878,15361.83171,6.8,7.4,16,15.8,13.6,20.7,9,6,2.2,2.5,0.1,0,1534,6.19,2.14,0.596,0.596596597
Chile,2010,-2461.585143,0.67960453,91.3996735,78.779,18042.79037,14.5,13,20,17.4,13.8,11.5,5,2.7,0.7,0.8,0.7,0.1,992,7.18,1.99,0.787,0.791750503
China,2010,2474.45454,-0.657060683,88.0126801,74.409,9254.779603,11.6,10,25,18.1,11.8,9.1,4.1,2.7,1.5,1.2,1.9,3,2186,7.13,1.99,0.765,0.756676558
Colombia,2010,315.389892,-1.537184834,102.269379,75.424,10732.82234,34.3,16,21,10.4,6.2,7.5,2.1,0.8,0.4,1.3,0.3,0,1507,8.16,1.96,0.879,0.881644935
Cyprus,2010,2423.722497,0.452444822,91.9940033,79.43,33423.5,20.8,14,22,16.7,8.4,11.7,1.9,2.3,1.3,0.8,0.5,0,995,7.54,2.02,0.819,0.823115578
Ecuador,2010,-126.355491,-0.586674452,94.4694672,75.089,9091.306548,17.9,25,24,12.1,11.1,5.2,1.2,1,1,1.3,0.2,0,1200,7.86,1.85,0.901,0.902805611
Estonia,2010,4043.073768,0.661366999,105.332642,75.4292683,21619.45455,7.2,6.1,16,18.8,16.2,17.8,7.7,5,1.7,1.9,1.2,0.1,1513,6.35,2.04,0.643,0.650151668
Germany,2010,3530.432679,0.796834469,101.152847,79.9878049,38952.6946,13.2,6.4,19,20.8,13.7,14.9,4.7,4.3,1.3,1.6,0.3,0,2040,6.8,2.09,0.731,0.733199599
Hong Kong,2010,1545.353532,0.935810566,88.1830978,82.9780488,49190.61995,9.8,8.5,23,19.6,16.5,13.6,3.9,3.1,0.8,1.6,0,0.1,999,6.87,1.94,0.774,0.773226773
India,2010,1420.964196,-1.2779845,61.1048012,66.693,4237.208788,15.3,10,15,18.1,15,13.3,5.8,3,1.2,2.7,0,0.7,4049,6.88,2.21,0.734,0.728897716
Kazakhstan,2010,3313.350537,0.522971809,98.7503433,68.45,19227.1844,20.6,8.7,16,18.2,10.3,13.5,5.5,3.4,1.1,3.2,0,0,1500,7.03,2.34,0.738,0.738
Jordan,2010,2110.376316,-0.31249252,81.6359787,73.428,9461.328429,19,13,19,17.1,10.6,13.2,3.1,2.1,1.9,1.8,0,0,1200,7.27,2.17,0.787,0.787
Korea,2010,2477.635233,0.325895816,96.0889206,80.1170732,31736.62844,8,8,19,20.1,13.4,16.6,7.3,4.4,2.2,0.8,0,0.3,1196,6.57,2.01,0.685,0.682951147
Kuwait,2010,2022.50454,0.451988816,98.7652435,74.358,73974.0789,33.4,15,16,12.2,7.4,6.3,2.1,2.2,0.6,2.3,0.7,2,1268,7.96,2.2,0.84,0.829220138
Malaysia,2010,290.523396,0.143352136,80.1992035,74.493,20511.00574,16.7,8.9,27,20.2,16.4,7.1,1.6,0.8,0.2,0.8,0,0,1300,7.5,1.72,0.892,0.892
Mexico,2010,1630.780569,-0.726463437,90.3881378,75.065,15255.01905,42.6,16,19,8.7,3.2,5,0.7,1.1,0.9,2,0.4,0,1991,8.44,2.01,0.895,0.898594378
Morocco,2010,2193.627438,-0.383013308,58.8403511,74.382,6332.819824,13.5,3.2,9.3,9,9.3,28.5,5,5.1,2,2.8,6.8,5.4,1054,6.18,2.35,0.443,0.449290061
Netherlands,2010,3597.151677,0.940750122,121.217552,80.702439,45043.90423,2.1,5.3,25,32.1,17.1,7.4,2.7,1.6,0.4,0.5,5.2,0.3,1799,6.9,1.42,0.816,0.858044164
New Zealand,2010,-2822.138433,1.236488819,121.821358,80.702439,31222.45448,20.3,17,24,16.6,7.3,6.7,1.4,1.3,1,1.2,1.7,1.3,816,7.8,1.9,0.852,0.855421687
Nigeria,2010,626.657931,-2.211123228,41.1909904,50.896,4703.720405,10,15,25,21.1,12.3,8.5,3.9,2,1.2,1.2,0,0,1759,7.22,1.88,0.834,0.834
Pakistan,2010,2095.897149,-2.675933123,28.8116493,65.264,4379.058818,19.7,13,18,18.6,12.2,8.7,4.1,2.3,0.5,2.6,0,0,1200,7.34,2.16,0.815,0.815
Peru,2010,-634.107723,-0.999915421,93.5096283,74.41,9731.487772,27,7.7,15,15.2,13.8,13.3,3,1.6,0.3,1.6,0.8,0.9,1190,7.45,2.15,0.787,0.786213786
Poland,2010,3582.441222,1.01733005,95.6627502,76.2463415,21072.52658,9.9,7.4,22,16.7,12.4,18.3,3.9,2.9,1.4,3.3,1.6,0,951,6.67,2.15,0.684,0.695121951
Qatar,2010,1749.482994,1.15385592,102.718788,79.108,132062.4619,29.6,17,18,13.9,8.9,8.1,1.1,1.1,0.8,1.7,0.2,0,1058,7.93,2.04,0.874,0.875751503
Romania,2010,3170.078109,0.273600399,97.2269669,73.4585366,16976.25909,35.6,12,16,10.5,8.6,8.6,2.7,1.6,0.9,2.5,1.1,0.2,1484,7.88,2.28,0.827,0.834510595
Rwanda,2010,-133.879182,-0.272093862,31.6176796,63.433,1349.667255,2,11,24,27.4,20.1,8.4,5,1.3,0.5,1,0,0,1527,6.85,1.58,0.845,0.845
Slovenia,2010,3184.435629,0.866508842,98.5895615,79.4219512,27826.87234,25.3,18,23,12.7,7.6,8.8,1.6,2,0.6,0.9,0.2,0.3,1064,7.88,1.95,0.866,0.865134865
South Africa,2010,-2108.604258,-0.029427003,96.5637131,57.669,12913.54048,14,11,22,18.4,13.4,11.1,3.8,1.7,1,2.6,1.3,0,3486,7.12,2.08,0.788,0.798378926
Spain,2010,2791.993023,-0.318043739,120.73542,81.6268293,31682.7131,12.8,7.4,16,21.7,16.3,15.3,3.1,2.6,0.6,0.8,3.2,0.3,1146,6.95,1.91,0.742,0.764160659
Sweden,2010,4148.843109,1.094170451,97.5972366,81.4512195,42223.91967,20.4,11,25,19.3,9.5,9.3,2.6,1.7,0.4,0.3,0.6,0,1199,7.62,1.83,0.852,0.857142857
Thailand,2010,1095.032208,-1.442788363,85.3351212,74.184,13196.8176,22.3,14,21,13.6,10.5,11.7,1.7,2.1,0.4,2.3,0,0.4,1195,7.53,2.13,0.814,0.810756972
Tunisia,2010,2338.197273,-0.063976362,94.4913788,75.041,10683.30968,24.8,4.1,6.6,11.9,12.5,21.9,4,3.3,2.1,5.3,2.8,0.7,1163,6.64,2.63,0.599,0.611848825
Ukraine,2010,3338.180877,0.013131719,94.3839493,70.2653659,8559.929688,13,8.7,17,13.3,13.9,16.3,6.9,5.1,2.7,2.8,0,0,1500,6.56,2.33,0.659,0.659
Egypt,2010,1850.618157,-0.898418307,67.9408798,70.349,9523.553039,8.8,6.4,24,17.2,11.2,11.3,6.4,6.9,2.5,5.6,0,0,1523,6.36,2.4,0.676,0.676
Uruguay,2010,-2244.071751,0.824986041,109.489777,76.75,16818.92257,28.5,13,19,11.3,7.9,8.8,3.3,2,1.3,1.7,2.1,0.7,972,7.73,2.21,0.797,0.80831643
Uzbekistan,2010,2855.046879,-0.720438123,89.8993607,69.672,5469.980737,34.2,11,16,12,9.5,5.5,2.6,1.9,1.7,3.1,0,2.4,1464,7.8,2.36,0.827,0.807617188
Algeria,2011,1934.338134,-1.360560656,101.544518,75.199,13500.04479,15.9,6.9,14,17.2,11.6,18.2,4.2,3.1,1.9,4.2,1.8,1.4,1161,6.66,2.37,0.656,0.658634538
Argentina,2011,-2650.710693,0.158993661,106.615471,75.278,19322.22712,11.8,10,26,23.1,14.3,7.4,3.4,0.8,0.4,0.5,0.5,1.6,1008,7.36,1.67,0.852,0.84272997
Armenia,2011,2764.767831,-0.063868985,93.2961884,73.331,8025.458485,21.9,6,13,8.3,6.5,18.7,7.4,5.7,4.5,4.2,3.6,0,1060,6.52,2.73,0.557,0.57780083
Brazil,2011,-982.215276,-0.132575423,99.8542404,73.619,15040.06109,38.3,6.5,13,10.9,9,13.3,2.2,2.4,1.5,2.1,1.1,0.1,1468,7.69,2.41,0.777,0.784848485
Belarus,2011,3705.976683,-0.087769009,105.553452,70.404878,16563.20141,6.8,7.4,16,15.8,13.6,20.7,9,6,2.2,2.5,0.1,0,1534,6.19,2.14,0.596,0.596596597
